nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,year,quarter
AIR TRANSPORT SERVICES GRP I,COM,00922R105,423908,14428445,SH,SOLE,2022,1
GENERAC HLDGS INC,COM,368736104,2751,7817,SH,SOLE,2022,1
ILLUMINA INC,COM,452327109,65369,171826,SH,SOLE,2022,1
IONQ INC,COM,46222L108,47031,2816253,SH,SOLE,2022,1
MARVELL TECHNOLOGY INC,COM,573874104,19723,225428,SH,SOLE,2022,1
NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,7548,1457055,SH,SOLE,2022,1
OWLET INC,COM CL A,69120X107,1318,493537,SH,SOLE,2022,1
REMITLY GLOBAL INC,COM,75960P104,40,1956,SH,SOLE,2022,1
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,16420746,158363834,SH,SOLE,2022,1
SMARTRENT INC,COM CL A,83193G107,6068,626893,SH,SOLE,2022,1
VITAL FARMS INC,COM,92847W103,28954,1603230,SH,DFND,2022,1
AIR TRANSPORT SERVICES GRP I,COM,00922R105,482631,14428445,SH,SOLE,2022,2
GENERAC HLDGS INC,COM,368736104,2324,7817,SH,SOLE,2022,2
IONQ INC,COM,46222L108,35935,2816253,SH,SOLE,2022,2
MARVELL TECHNOLOGY INC,COM,573874104,16165,225428,SH,SOLE,2022,2
NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,6324,1457055,SH,SOLE,2022,2
OWLET INC,COM CL A,69120X107,2196,493537,SH,SOLE,2022,2
REMITLY GLOBAL INC,COM,75960P104,19,1956,SH,SOLE,2022,2
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,7956199,158363834,SH,SOLE,2022,2
SMARTRENT INC,COM CL A,83193G107,3172,626893,SH,SOLE,2022,2
VITAL FARMS INC,COM,92847W103,19816,1603230,SH,DFND,2022,2
AIR TRANSPORT SERVICES GRP I,COM,00922R105,414529,14428445,SH,SOLE,2022,3
IONQ INC,COM,46222L108,12335,2816253,SH,SOLE,2022,3
MARVELL TECHNOLOGY INC,COM,573874104,9813,225428,SH,SOLE,2022,3
NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,3919,1457055,SH,SOLE,2022,3
OWLET INC,COM CL A,69120X107,839,493537,SH,SOLE,2022,3
REMITLY GLOBAL INC,COM,75960P104,15,1956,SH,SOLE,2022,3
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,4076285,158363834,SH,SOLE,2022,3
SMARTRENT INC,COM CL A,83193G107,2834,626893,SH,SOLE,2022,3
VITAL FARMS INC,COM,92847W103,14028,1603230,SH,DFND,2022,3
AIR TRANSPORT SERVICES GRP I,COM,00922R105,347581,14428445,SH,SOLE,2022,4
IONQ INC,COM,46222L108,14278,2816253,SH,SOLE,2022,4
MARVELL TECHNOLOGY INC,COM,573874104,9673,225428,SH,SOLE,2022,4
NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,3089,1457055,SH,SOLE,2022,4
OWLET INC,COM CL A,69120X107,528,493537,SH,SOLE,2022,4
REMITLY GLOBAL INC,COM,75960P104,22,1956,SH,SOLE,2022,4
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,5211754,158363834,SH,SOLE,2022,4
SMARTRENT INC,COM CL A,83193G107,1423,626893,SH,SOLE,2022,4
VITAL FARMS INC,COM,92847W103,19191,1603230,SH,DFND,2022,4
